"","miRNA1","miRNA2","miRNA3","sensitivity_batch1","specificity_batch1","AUC_batch1","sensitivity*specificity_batch1","sensitivity_batch2","specificity_batch2","AUC_batch2","sensitivity*specificity_batch2"
"45","hsa-miR-148b-5p","hsa-miR-374a-3p","hsa-miR-106b-3p",0.818181818181818,1,0.878787878787879,0.818181818181818,0.222222222222222,0.777777777777778,0.561728395061728,0.172839506172839
"46","hsa-miR-148b-5p","hsa-miR-374a-3p","hsa-miR-23a-3p",0.818181818181818,1,0.939393939393939,0.818181818181818,0.222222222222222,0.888888888888889,0.583333333333333,0.197530864197531
"47","hsa-miR-148b-5p","hsa-miR-15b-5p","hsa-miR-106b-3p",0.636363636363636,1,0.848484848484849,0.636363636363636,0.37037037037037,0.666666666666667,0.454732510288066,0.246913580246914
"48","hsa-miR-148b-5p","hsa-miR-15b-5p","hsa-miR-23a-3p",0.818181818181818,1,0.878787878787879,0.818181818181818,0.148148148148148,0.944444444444444,0.598765432098765,0.139917695473251
"49","hsa-miR-148b-5p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.818181818181818,1,0.878787878787879,0.818181818181818,0.296296296296296,0.611111111111111,0.648148148148148,0.181069958847737
"50","hsa-miR-191-5p","hsa-miR-223-3p","hsa-miR-30a-5p",1,0.666666666666667,0.818181818181818,0.666666666666667,0.925925925925926,0.166666666666667,0.771604938271605,0.154320987654321
"51","hsa-miR-191-5p","hsa-miR-223-3p","hsa-miR-374a-3p",1,0.833333333333333,0.878787878787879,0.833333333333333,0.62962962962963,0.888888888888889,0.767489711934156,0.559670781893004
"52","hsa-miR-191-5p","hsa-miR-223-3p","hsa-miR-15b-5p",1,0.833333333333333,0.939393939393939,0.833333333333333,0.666666666666667,0.722222222222222,0.732510288065844,0.481481481481481
"53","hsa-miR-191-5p","hsa-miR-223-3p","hsa-miR-106b-3p",0.818181818181818,1,0.939393939393939,0.818181818181818,0.925925925925926,0.222222222222222,0.565843621399177,0.205761316872428
"54","hsa-miR-191-5p","hsa-miR-223-3p","hsa-miR-23a-3p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.851851851851852,0.222222222222222,0.689300411522634,0.189300411522634
"55","hsa-miR-191-5p","hsa-miR-30a-5p","hsa-miR-374a-3p",0.909090909090909,0.833333333333333,0.803030303030303,0.757575757575758,0.259259259259259,0.944444444444444,0.728395061728395,0.244855967078189
"56","hsa-miR-191-5p","hsa-miR-30a-5p","hsa-miR-15b-5p",0.818181818181818,0.833333333333333,0.893939393939394,0.681818181818182,0.185185185185185,0.888888888888889,0.685185185185185,0.164609053497942
"57","hsa-miR-191-5p","hsa-miR-30a-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.909090909090909,0.757575757575758,0.296296296296296,0.722222222222222,0.567901234567901,0.213991769547325
"58","hsa-miR-191-5p","hsa-miR-30a-5p","hsa-miR-23a-3p",0.909090909090909,0.666666666666667,0.787878787878788,0.606060606060606,0.296296296296296,0.888888888888889,0.689300411522634,0.263374485596708
"59","hsa-miR-191-5p","hsa-miR-374a-3p","hsa-miR-15b-5p",0.909090909090909,0.833333333333333,0.924242424242424,0.757575757575758,0.222222222222222,0.944444444444444,0.746913580246914,0.209876543209877
"60","hsa-miR-191-5p","hsa-miR-374a-3p","hsa-miR-106b-3p",0.818181818181818,1,0.893939393939394,0.818181818181818,0.185185185185185,0.777777777777778,0.590534979423868,0.1440329218107
"61","hsa-miR-191-5p","hsa-miR-374a-3p","hsa-miR-23a-3p",0.909090909090909,0.833333333333333,0.893939393939394,0.757575757575758,0.37037037037037,0.833333333333333,0.639917695473251,0.308641975308642
"62","hsa-miR-191-5p","hsa-miR-15b-5p","hsa-miR-106b-3p",0.818181818181818,0.833333333333333,0.863636363636364,0.681818181818182,0.444444444444444,0.833333333333333,0.683127572016461,0.37037037037037
"63","hsa-miR-191-5p","hsa-miR-15b-5p","hsa-miR-23a-3p",0.818181818181818,0.833333333333333,0.848484848484849,0.681818181818182,0.333333333333333,0.888888888888889,0.681069958847737,0.296296296296296
"64","hsa-miR-191-5p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.818181818181818,1,0.893939393939394,0.818181818181818,0.148148148148148,0.944444444444444,0.561728395061728,0.139917695473251
"65","hsa-miR-223-3p","hsa-miR-30a-5p","hsa-miR-374a-3p",1,0.833333333333333,0.893939393939394,0.833333333333333,0.703703703703704,0.833333333333333,0.748971193415638,0.58641975308642
"66","hsa-miR-223-3p","hsa-miR-30a-5p","hsa-miR-15b-5p",0.909090909090909,0.833333333333333,0.924242424242424,0.757575757575758,0.592592592592593,0.722222222222222,0.718106995884774,0.42798353909465
"67","hsa-miR-223-3p","hsa-miR-30a-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.939393939393939,0.757575757575758,0.481481481481481,0.777777777777778,0.65843621399177,0.374485596707819
"68","hsa-miR-223-3p","hsa-miR-30a-5p","hsa-miR-23a-3p",1,0.666666666666667,0.848484848484848,0.666666666666667,0.925925925925926,0.111111111111111,0.582304526748971,0.102880658436214
"69","hsa-miR-223-3p","hsa-miR-374a-3p","hsa-miR-15b-5p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.740740740740741,0.611111111111111,0.675925925925926,0.452674897119342
"70","hsa-miR-223-3p","hsa-miR-374a-3p","hsa-miR-106b-3p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.740740740740741,0.666666666666667,0.687242798353909,0.493827160493827
"71","hsa-miR-223-3p","hsa-miR-374a-3p","hsa-miR-23a-3p",1,0.833333333333333,0.909090909090909,0.833333333333333,0.592592592592593,0.833333333333333,0.701646090534979,0.493827160493827
"72","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-miR-106b-3p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.777777777777778,0.222222222222222,0.722222222222222,0.172839506172839
"73","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-miR-23a-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.851851851851852,0.5,0.734567901234568,0.425925925925926
"74","hsa-miR-223-3p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.727272727272727,1,0.909090909090909,0.727272727272727,0.666666666666667,0.5,0.590534979423868,0.333333333333333
"75","hsa-miR-30a-5p","hsa-miR-374a-3p","hsa-miR-15b-5p",0.727272727272727,1,0.909090909090909,0.727272727272727,0.148148148148148,0.888888888888889,0.701646090534979,0.131687242798354
"76","hsa-miR-30a-5p","hsa-miR-374a-3p","hsa-miR-106b-3p",0.818181818181818,1,0.924242424242424,0.818181818181818,0.148148148148148,0.833333333333333,0.594650205761317,0.123456790123457
"77","hsa-miR-30a-5p","hsa-miR-374a-3p","hsa-miR-23a-3p",0.909090909090909,0.833333333333333,0.909090909090909,0.757575757575758,0.407407407407407,0.666666666666667,0.561728395061728,0.271604938271605
"78","hsa-miR-30a-5p","hsa-miR-15b-5p","hsa-miR-106b-3p",0.727272727272727,1,0.878787878787879,0.727272727272727,0.333333333333333,0.833333333333333,0.58641975308642,0.277777777777778
"79","hsa-miR-30a-5p","hsa-miR-15b-5p","hsa-miR-23a-3p",0.818181818181818,1,0.878787878787879,0.818181818181818,0.296296296296296,0.888888888888889,0.646090534979424,0.263374485596708
"80","hsa-miR-30a-5p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.727272727272727,1,0.878787878787879,0.727272727272727,0.185185185185185,0.888888888888889,0.518518518518518,0.164609053497942
"81","hsa-miR-374a-3p","hsa-miR-15b-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.939393939393939,0.757575757575758,0.444444444444444,0.666666666666667,0.613168724279835,0.296296296296296
"82","hsa-miR-374a-3p","hsa-miR-15b-5p","hsa-miR-23a-3p",0.818181818181818,1,0.901515151515151,0.818181818181818,0.185185185185185,0.944444444444444,0.623456790123457,0.174897119341564
"83","hsa-miR-374a-3p","hsa-miR-106b-3p","hsa-miR-23a-3p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.518518518518518,0.611111111111111,0.565843621399177,0.316872427983539
"84","hsa-miR-15b-5p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.727272727272727,1,0.863636363636364,0.727272727272727,0.185185185185185,0.888888888888889,0.539094650205761,0.164609053497942
